patch,long,lat,ft_original,dd_original,patch_area,seagrass_area,prop_ft_density_seag,ft_density_pre,dd_density_pre,dd_density_grass,ft_density_grass,total_cuke_den_sg,kg_m2yr_hmex,kg_m2yr_aaga,umolh_m2_hmex,umolh_m2_aaga
New2,-76.263267,24.820817,9,1,53.82779,84.21704,0.010686673,0.106866734,0.011874082,0.011874082,0.106866734,0.118740815,0.51550156,0.868108878,0.27656803,1.381246451
Damsel,-76.255838,24.820622,10,2,33.22996,22.23235,0.037482917,0.449795006,0.089959001,0.089959001,0.449795006,0.539754007,1.954711017,3.290506773,1.048031661,5.237730816
78S,-76.24708501,24.85274599,12,1,36.03586,10.18353,0.090644101,1.178373315,0.098197776,0.098197776,1.178373315,1.276571091,2.09027545,8.637562952,1.145871849,13.71815098
119,-76.273583,24.823233,5,2,22.32645,29.4188,0.024279907,0.169959346,0.067983738,0.067983738,0.169959346,0.237943084,1.477492041,1.245248682,0.795974441,1.972642516
76S,-76.25828097,24.85207502,13,0,6.58981,18.62352,0.053695542,0.698042046,0,0,0.698042046,0.698042046,0,5.116921571,0,8.125077144
LS02,-76.276583,24.841433,0,1,9.628874,43.75249,0,0,0.022855842,0.022855842,0,0.022855842,0.496987405,0,0.263384526,0
85,-76.24768498,24.83654201,6,1,31.93444,38.73354,0.022129216,0.154904509,0.025817418,0.025817418,0.154904509,0.180721927,0.56263523,1.13403979,0.301572004,1.799068331
Angel2,-76.247659,24.82399,5,1,4.738043,24.90377,0.033462136,0.200772815,0.040154563,0.040154563,0.200772815,0.240927378,0.877774382,1.466309761,0.465205727,2.336917803
Calgary,-76.260102,24.884792,9,0,7.717423,39.65982,0.025214436,0.226929926,0,0,0.226929926,0.226929926,0,1.659181773,0,2.635612103
Lakeisha,-76.262617,24.862133,7,2,8.117698,23.39578,0.033244362,0.299199257,0.085485502,0.085485502,0.299199257,0.384684759,1.864359439,2.191147245,0.994292234,3.472626362
IMC,-76.262752,24.811689,11,5,24.57929,62.60658,0.010981274,0.175700382,0.07986381,0.07986381,0.175700382,0.255564191,1.734384972,1.287142672,0.929499935,2.049018413
94north,-76.26096603,24.81939599,6,3,24.42634,62.49633,0.010667293,0.096005637,0.048002819,0.048002819,0.096005637,0.144008456,1.02765284,0.58439606,0.558800784,0.935535216
NF17,-76.25243,24.83296,12,6,71.81708,44.91432,0.014843076,0.267175369,0.133587684,0.133587684,0.267175369,0.400763053,2.880911256,1.953043305,1.553060096,3.113904793
71,-76.27264998,24.83281701,7,5,128.6388,182.2107,0.003201422,0.038417063,0.02744076,0.02744076,0.038417063,0.065857823,0.594805051,0.279810939,0.319619994,0.448570692
57,-76.26262103,24.84283598,4,3,5.959557,33.61352,0.016999962,0.118999736,0.089249802,0.089249802,0.118999736,0.208249538,1.942921432,0.87033899,1.040360033,1.388150251
Cooda,-76.267879,24.81475,1,1,12.43398,15.09664,0.033119953,0.066239905,0.066239905,0.066239905,0.066239905,0.13247981,1.460186328,0.484959662,0.767040969,0.768222966
NF15,-76.24149,24.82254,3,5,13.90577,126.4689,0.002965156,0.023721247,0.039535411,0.039535411,0.023721247,0.063256658,0.850518106,0.173807107,0.459571514,0.275909928
Check1,-76.270767,24.84155,3,1,25.21333,64.09249,0.011701839,0.046807356,0.015602452,0.015602452,0.046807356,0.062409808,0.331319774,0.341215823,0.180724713,0.546698215
Cow,-76.265989,24.818844,2,0,28.16804,5.274395,0.189595205,0.37919041,0,0,0.37919041,0.37919041,0,2.777374259,0,4.403862371
90stop,-76.25416,24.84634,58,3,124.6796291,296.108,0.003211057,0.195874478,0.010131439,0.010131439,0.195874478,0.206005917,0.219088275,1.431964595,0.117315013,2.279922544
94urchin,-76.26096603,24.81939599,4,2,59.30829,29.99752,0.022224059,0.133344356,0.066672178,0.066672178,0.133344356,0.200016535,1.445572169,0.972359404,0.773056143,1.559452393
F5small,-76.24753,24.82288303,3,0,1.27324,6.684508,0.149599641,0.448798924,0,0,0.448798924,0.448798924,0,3.284795463,0,5.178873616
Biscuit,-76.26735002,24.851367,10,1,13.83454,40.37443,0.022516501,0.247681515,0.024768152,0.024768152,0.247681515,0.272449667,0.538545248,1.809799119,0.289866429,2.879545982
CT15,-76.258817,24.883417,7,0,61.15529,21.35382,0.046830029,0.3278102,0,0,0.3278102,0.3278102,0,2.39377547,0,3.804249435
Check3,-76.25738,24.83118,3,3,11.84431,13.65311,0.036621693,0.219730157,0.219730157,0.219730157,0.219730157,0.439460313,4.762750479,2.151160543,2.553705601,3.413276281
FFA,-76.24473,24.85102,14,0,13.24249,35.70084,0.028010545,0.392147636,0,0,0.392147636,0.392147636,0,2.868714507,0,4.580479339
Montreal,-76.263468,24.820924,7,0,18.64341,11.61592,0.086088747,0.60262123,0,0,0.60262123,0.60262123,0,4.411632395,0,7.013049794
E2,-76.266,24.81435,1,3,48.93935,170.3961,0.00146717,0.005868679,0.017606037,0.017606037,0.005868679,0.023474716,0.384683311,0.042957332,0.204569425,0.067927567
Vancouver,-76.262617,24.862133,3,0,8.92143,66.56894,0.015022021,0.045066062,0,0,0.045066062,0.045066062,0,0.329562097,0,0.524681007
74tall,-76.25735301,24.85711003,21,0,15.37516,24.19792,0.041325866,0.867843187,0,0,0.867843187,0.867843187,0,6.340188977,0,10.12568937
96S,-76.25775299,24.86374003,2,0,2.676986,17.44099,0.057336195,0.11467239,0,0,0.11467239,0.11467239,0,0.837677584,0,1.337348723
Shitscreek,-76.24256,24.81291,1,6,34.26308,39.76387,0.003592637,0.025148458,0.150890746,0.150890746,0.025148458,0.176039203,3.248729413,0.183026499,1.764045262,0.288839541
E1,-76.26444602,24.81238897,8,5,209.3391,119.6732,0.005142209,0.066848718,0.041780449,0.041780449,0.066848718,0.108629167,0.903560905,0.488669487,0.486059076,0.779956486
Check5,-76.250533,24.846717,9,3,18.87259,25.44888,0.029470845,0.353650141,0.11788338,0.11788338,0.353650141,0.471533521,2.524777039,2.584138864,1.367982645,4.110422176
Josh,-76.24934703,24.844133,19,1,22.99789,47.1966,0.020128569,0.402571372,0.021187967,0.021187967,0.402571372,0.423759339,0.458847039,2.943785342,0.247983286,4.68995958
